label,source_type,source_file,n_calpha,n_modes,min_frequency_thz,max_frequency_thz,mean_frequency_thz,modes_microwave_lt_0_1_thz,modes_thz_0_1_to_3_0_thz,modes_beyond_3_0_thz,negative_eigenvalues_clipped,elapsed_seconds,status,error
2AXQ,RCSB,structures/2AXQ.pdb,445,1329,0.06915762192398055,1.5221780686399737,0.9245709032087407,2,1327,0,0,19.912,ok,
1YAA,RCSB,structures/1YAA.pdb,1648,4938,0.030748442328032675,1.5777440882904117,0.9889114347653125,5,4933,0,0,120.212,ok,
3FKY,RCSB,structures/3FKY.pdb,6726,20172,0.028324988591096802,1.553756665997958,0.9932812134975391,19,20153,0,0,1711.014,ok,
3IG5,RCSB,structures/3IG5.pdb,673,2013,0.15935060717036253,1.5538344003800362,0.9747307709546751,0,2013,0,0,60.465,ok,
YPR021C,AlphaFold/GitHub,structures/AF-Q12482-F1-model_v6.pdb,902,2700,0.013159054511943043,1.4589407871153905,0.8209614497042586,25,2675,0,0,103.871,ok,
YLR174W,AlphaFold/GitHub,structures/AF-P41939-F1-model_v6.pdb,412,1230,0.035333769779442414,1.545221426265762,0.8983887581103053,5,1225,0,0,35.004,ok,
YGR019W,AlphaFold/GitHub,structures/AF-P17649-F1-model_v6.pdb,471,1407,0.0945036458950776,1.5491701402799447,0.9335714862262782,1,1406,0,0,33.514,ok,
YAL062W,AlphaFold/GitHub,structures/AF-P39708-F1-model_v6.pdb,457,1365,0.11937386110315157,1.5862002344159178,0.9691326903810369,0,1365,0,0,33.806,ok,
YMR113W,AlphaFold/GitHub,structures/AF-Q12676-F1-model_v6.pdb,427,1275,0.12942827711712113,1.5734697539580038,0.9441565159015815,0,1275,0,0,28.54,ok,
YLR017W,AlphaFold/GitHub,structures/AF-Q07938-F1-model_v6.pdb,337,1005,0.002934246669810705,1.5125361870668137,0.8976049759831132,16,989,0,0,20.9,ok,
